Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
A.Legendre,Rennes,Ligue 1,2025/2026,13,0.14,1,Left Midfielder,,Man,Ecuador,18,21/04/08,,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,6.92,0,0,0,0,6.92,0,0,0,0,62.31,41.54,0,0,47.91,0,6.92,0,0,0,0,0,0,0,6.92,,0,0,62.31,22.12,0,0,0,47.91,34.62,56,0,,0,0,0,27.69,100,0,0,,0,0,75,100,0,22.16,0,0,0,34.62,80,8.09,0,0,0,0,0,0,0,0,,0,,0,0,100,0,,,,15.49,16.08,1,100,0.58,15.49,16.08,0,0,0,0,0,,0,0,,0,0,0,0,0,0,50,50,,,0.14,0.01,,,,0.15
Abdallah Sima,Lens,Ligue 1,2025/2026,196,2.18,7,Left Attacking Midfielder,Centre Forward,Man,Senegal,24,16/06/01,188,0.46,0.46,0.12,0.05,2.29,20,60,3,,0.38,0,0.01,0.46,0,0.01,0.46,0,0,0,0.46,0.13,2.75,0.33,1.37,0.46,0.92,33,0,0,1.83,5.5,0.46,0.31,1.37,0.8,31.62,17.87,0.04,6.42,52.68,2.75,6.42,1.37,1.83,75,1.41,1.72,1.37,0,0.46,56,2.29,0,28.87,20.6,6.42,4.58,1.83,55.16,16.96,59,3.67,80,0.92,0,0,23.37,67,1.37,15,75,1.37,1.83,25,62,-6,59.03,3.21,0.2,0.31,21.54,74,10.6,7.79,0.92,0.92,0,0.46,4.58,5.5,0,50,1.37,100,0.92,21,60,19,18,71,12,15.54,12.2,1.02,100,-3.35,15.83,12.21,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,2,2.75,23,0.02,0.04,0.16,0.02,,0.24
Abdelhamid Ait Boudlal,Rennes,Ligue 1,2025/2026,698,7.75,9,Right Centre Back,,Man,Morocco,20,15/04/06,190,0.26,0.26,0.09,0.23,0.39,67,67,0,,0.11,0.13,0.03,0.13,0.13,0.03,0.13,0,0,0,0.39,0.11,0.52,0.27,0.52,0.26,0.26,50,0.26,0,0.26,1.29,1.16,0.79,4.77,4.5,10.45,4.26,0.06,4.64,26.96,1.68,7.22,1.55,2.71,63,1.46,2.25,0.9,50,0.9,71,2.84,0.13,8,6.28,3.35,0.9,0.65,32.39,1.81,23,0.13,14,0.26,0,0.13,43.99,86,2.97,3,53,5.55,4.77,15,70,-16,36.03,3.48,0.32,0.35,35.74,96,4.79,4.39,0.77,0.77,0,0.13,0.9,1.68,0,0,0.13,50,0.13,29,67,4,41,56,3,21.44,20.58,0.94,80,-0.86,20.13,16.47,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,13,4,29,0.05,0.04,0.03,0.05,,0.17
Abdoul Ouattara,Strasbourg,Ligue 1,2025/2026,930,10.33,13,Right Wing Back,Left Wing Back,Man,France,20,21/10/05,174,0.19,0.19,0.14,0.12,1.16,17,33,1,,0.21,0,0.1,0.29,0,0.1,0.29,0,0,0,0.19,0.24,1.45,-0.05,0.68,0.39,0.29,57,0.29,0,0.68,1.45,1.16,1.13,1.26,1.18,12.39,6.97,0,4.45,44.81,2.61,5.91,0.97,2.13,59,0.93,2.06,0.77,33,0.68,50,0.29,0,10.65,11.1,3.39,2.81,1.07,48.44,5.52,52,1.94,69,0.1,0,0,33.31,87,1.16,13,80,1.36,1.36,15,68,-18,50.58,2.42,0.42,0.54,27.98,93,4.02,7.65,0.48,0.48,0,0.1,2.61,3.1,0,40,0.29,27,0.39,12,66,21,23,62,15,16.5,14.87,0.98,95,-1.63,16.12,14.06,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,11,3.11,25,0.03,0.03,0,0.04,,0.11
Abdoulaye Bamba,Angers,Ligue 1,2025/2026,21,0.23,1,Right Back,,Man,Côte d'Ivoire,36,24/04/90,182,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4.27,2.4,4.27,4.27,,0,3.43,0,0,0,0,,0,0,4.27,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,25.61,75,0,0,0,4.27,4.27,0,,,63.04,4.27,0,0,25.61,100,1.01,4.27,0,0,0,0,0,0,0,,0,,0,38,38,25,100,0,0,20.11,,0.76,,,15.38,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,50,25,,,-0.07,0.01,0.07,,,0.01
Abdoulaye Faye,Lorient,Ligue 1,2025/2026,639,7.1,7,Left Centre Back,,Man,Senegal,21,21/09/04,191,0,0,0.06,0.07,0.84,0,17,0,,0.01,0,0,0,0,0,0,0,0,0,0,0.06,0.84,-0.06,0.14,0.14,0,100,1.13,0,0.42,0.14,2.11,1.37,3.66,2.47,12.39,5.49,0.06,4.93,22.81,1.41,6.05,1.69,3.8,75,1.23,2.6,1.97,57,0.56,75,2.53,0.14,8.73,5.76,2.68,1.97,0.84,28.65,1.13,13,0.28,14,0.7,0,0,47.03,87,3.52,93,50,4.51,6.2,10,69,-17,35.99,3.1,0.41,0.45,37.32,98,3.96,4.37,0,0,0,0.14,1.83,1.83,0,,0,,0.14,28,70,2,39,58,3,21.43,22.02,0.92,82,0.59,19.68,18.1,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,8,3.86,34,0.03,0.03,-0.01,-0.05,,0.01
Abdoulaye Touré,Le Havre,Ligue 1,2025/2026,811,9.01,11,Right Centre Midfielder,Left Centre Midfielder,Man,Guinea,32,02/03/94,188,0.22,0.22,0.07,0.06,1.33,17,33,2,0,0.14,0,0.02,0.33,0,0.02,0.33,0,0,0,0.22,0.09,1.67,0.13,1.11,0.78,0.33,70,1.89,0,1.11,2,0.56,0.54,1.11,1.03,22.54,11.99,0.05,5.88,45.41,5.66,8.88,1.33,1.89,86,1.32,1.86,1.67,88,0.22,50,0.89,0.11,19.54,19.02,5.22,3.33,1.22,47.68,9.33,48,2.33,70,0.22,0,0,35.42,83,3.55,24,80,1.78,3.78,23,76,-8,52.23,2.55,0.27,0.32,30.76,92,4.5,9.1,0.44,0.44,0,0,1.78,2.22,0,0,0.33,23,0.33,17,69,14,17,68,15,19.94,18.54,0.98,103,-1.4,19.59,19.16,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,9,3.7,26,-0.05,0.04,0.01,-0.01,,-0.02
Abdulay Juma Bah,OGC Nice,Ligue 1,2025/2026,999,11.1,12,Centre Back,Left Centre Back,Man,Sierra Leone,20,10/04/06,195,0,0,0.04,0.12,0.36,0,25,0,,0.01,0,0.04,0.27,0,0.04,0.27,0,0,0,0,0.08,0.63,-0.08,0.45,0.45,0,100,0.27,0,0.09,0.18,1.26,1.35,4.32,3.28,12.97,5.94,0.08,5.13,28.92,1.98,10,0.99,2.25,79,0.96,2.31,1.35,75,0.27,65,3.33,0,10.63,11.84,3.6,2.16,0.81,36.77,3.15,30,1.35,63,0.36,0,0,50.08,92,2.16,9,67,5.31,2.25,17,81,-11,36.22,1.62,0.43,0.49,39.99,99,4.83,2.52,0,0,0,0.18,1.62,1.62,0,,0,,0.18,18,79,3,36,64,0,20.13,20.21,0.98,97,0.08,19.65,19.66,0,0,0,0,0,,0,0,,0,0,0,0,0,0,12,7,4.06,29,-0.01,0.06,0.01,-0.04,,0.01
Abner,Lyon,Ligue 1,2025/2026,890,9.89,10,Left Back,Left Wing Back,Man,Brazil,26,26/05/00,181,0.1,0.1,0.08,0.1,0.81,13,25,1,,0.11,0,0.05,0.71,0,0.05,0.71,0,0,0,0.1,0.13,1.52,-0.03,0.91,0.51,0.4,56,0.3,0,0.71,1.11,0.91,1.05,1.42,1.58,13.14,5.86,0.01,3.84,37.86,2.12,5.05,1.11,2.02,65,1.27,2.32,1.42,56,0.61,47,0.71,0,10.71,13.95,3.13,1.92,0.4,41.14,4.14,39,1.42,74,0.2,0,0.1,36.49,82,2.73,94,63,1.72,4.04,14,66,-16,52.5,3.74,0.54,0.62,32.24,94,4.16,10.31,1.01,0.91,0.1,0.2,2.73,3.64,0.1,40,0.51,26,0.2,26,62,13,27,54,19,18.87,17.54,0.95,105,-1.33,17.94,18.34,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,12,6.17,39,0.1,0.06,0.02,0,,0.17
Abu Francis,Toulouse,Ligue 1,2025/2026,563,6.25,8,Left Defensive Midfielder,Right Defensive Midfielder,Man,Ghana,25,26/04/01,182,0,0,0.03,0.03,0.96,0,0,1,,0,0,0.01,0.16,0,0.01,0.16,0,0,0,0,0.04,1.12,-0.04,0.16,0.16,0,100,0.64,0,0.8,0.48,0.64,0.54,1.92,1.48,23.03,14.88,0.05,8.64,45.15,5.6,11.2,2.4,3.04,68,1.51,2.05,0.96,36,1.12,67,0.96,0.16,19.67,15.24,7.2,5.6,1.44,47.96,9.92,50,4.16,74,0.32,0,0,38.55,85,0.64,8,36,2.24,1.44,20,81,-4,46.94,1.92,0.3,0.31,25.59,95,3.29,4.96,0.32,0.32,0,0,0.64,0.96,0,0,0,,0,21,69,10,32,65,3,17.03,16.01,0.95,97,-1.01,16.24,15.53,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,7,4.67,32,0,0.02,0.05,-0.03,,0.05
